Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah35,165,36
2020,MALE,BLACK NON HISPANIC,Charles36,164,37
2021,FEMALE,HISPANIC,Karen37,163,38
2022,MALE,WHITE NON HISPANIC,Christopher38,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy39,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James40,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary41,159,42
2018,MALE,HISPANIC,Robert42,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia43,157,44
2020,MALE,OTHER ETHNICITY,Michael44,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer45,155,46
2022,MALE,BLACK NON HISPANIC,William46,154,47
2023,FEMALE,HISPANIC,Linda47,153,48
2016,MALE,WHITE NON HISPANIC,David48,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara49,151,50
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard50,150,1
2019,FEMALE,BLACK NON HISPANIC,Susan51,149,2
2020,MALE,HISPANIC,Joseph52,148,3
2021,FEMALE,WHITE NON HISPANIC,Jessica53,147,4
2022,MALE,OTHER ETHNICITY,Thomas54,146,5
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah55,145,6
2016,MALE,BLACK NON HISPANIC,Charles56,144,7
2017,FEMALE,HISPANIC,Karen57,143,8
2018,MALE,WHITE NON HISPANIC,Christopher58,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy59,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James60,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary61,139,12
2022,MALE,HISPANIC,Robert62,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia63,137,14
2016,MALE,OTHER ETHNICITY,Michael64,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer65,135,16
2018,MALE,BLACK NON HISPANIC,William66,134,17
2019,FEMALE,HISPANIC,Linda67,133,18
2020,MALE,WHITE NON HISPANIC,David68,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara69,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard70,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan71,129,22
2016,MALE,HISPANIC,Joseph72,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica73,127,24
2018,MALE,OTHER ETHNICITY,Thomas74,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah75,125,26
2020,MALE,BLACK NON HISPANIC,Charles76,124,27
2021,FEMALE,HISPANIC,Karen77,123,28
2022,MALE,WHITE NON HISPANIC,Christopher78,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy79,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James80,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary81,119,32
2018,MALE,HISPANIC,Robert82,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia83,117,34
2020,MALE,OTHER ETHNICITY,Michael84,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer85,115,36
2022,MALE,BLACK NON HISPANIC,William86,114,37
2023,FEMALE,HISPANIC,Linda87,113,38
2016,MALE,WHITE NON HISPANIC,David88,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara89,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard90,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan91,109,42
2020,MALE,HISPANIC,Joseph92,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica93,107,44
2022,MALE,OTHER ETHNICITY,Thomas94,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah95,105,46
2016,MALE,BLACK NON HISPANIC,Charles96,104,47
2017,FEMALE,HISPANIC,Karen97,103,48
2018,MALE,WHITE NON HISPANIC,Christopher98,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy99,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James100,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary101,199,2
2022,MALE,HISPANIC,Robert102,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia103,197,4
2016,MALE,OTHER ETHNICITY,Michael104,196,5
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer105,195,6
2018,MALE,BLACK NON HISPANIC,William106,194,7
2019,FEMALE,HISPANIC,Linda107,193,8
2020,MALE,WHITE NON HISPANIC,David108,192,9
2021,FEMALE,OTHER ETHNICITY,Barbara109,191,10
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard110,190,11
2023,FEMALE,BLACK NON HISPANIC,Susan111,189,12
2016,MALE,HISPANIC,Joseph112,188,13
2017,FEMALE,WHITE NON HISPANIC,Jessica113,187,14
2018,MALE,OTHER ETHNICITY,Thomas114,186,15
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah115,185,16
2020,MALE,BLACK NON HISPANIC,Charles116,184,17
2021,FEMALE,HISPANIC,Karen117,183,18
2022,MALE,WHITE NON HISPANIC,Christopher118,182,19
2023,FEMALE,OTHER ETHNICITY,Nancy119,181,20
2016,MALE,ASIAN AND PACIFIC ISLANDER,James120,180,21
2017,FEMALE,BLACK NON HISPANIC,Mary121,179,22
2018,MALE,HISPANIC,Robert122,178,23
2019,FEMALE,WHITE NON HISPANIC,Patricia123,177,24
2020,MALE,OTHER ETHNICITY,Michael124,176,25
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer125,175,26
2022,MALE,BLACK NON HISPANIC,William126,174,27
2023,FEMALE,HISPANIC,Linda127,173,28
2016,MALE,WHITE NON HISPANIC,David128,172,29
2017,FEMALE,OTHER ETHNICITY,Barbara129,171,30
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard130,170,31
2019,FEMALE,BLACK NON HISPANIC,Susan131,169,32
2020,MALE,HISPANIC,Joseph132,168,33
2021,FEMALE,WHITE NON HISPANIC,Jessica133,167,34
2022,MALE,OTHER ETHNICITY,Thomas134,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah135,165,36
2016,MALE,BLACK NON HISPANIC,Charles136,164,37
2017,FEMALE,HISPANIC,Karen137,163,38
2018,MALE,WHITE NON HISPANIC,Christopher138,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy139,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James140,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary141,159,42
2022,MALE,HISPANIC,Robert142,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia143,157,44
2016,MALE,OTHER ETHNICITY,Michael144,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer145,155,46
2018,MALE,BLACK NON HISPANIC,William146,154,47
2019,FEMALE,HISPANIC,Linda147,153,48
2020,MALE,WHITE NON HISPANIC,David148,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara149,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard150,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan151,149,2
2016,MALE,HISPANIC,Joseph152,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica153,147,4
2018,MALE,OTHER ETHNICITY,Thomas154,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah155,145,6
2020,MALE,BLACK NON HISPANIC,Charles156,144,7
2021,FEMALE,HISPANIC,Karen157,143,8
2022,MALE,WHITE NON HISPANIC,Christopher158,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy159,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James160,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary161,139,12
2018,MALE,HISPANIC,Robert162,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia163,137,14
2020,MALE,OTHER ETHNICITY,Michael164,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer165,135,16
2022,MALE,BLACK NON HISPANIC,William166,134,17
2023,FEMALE,HISPANIC,Linda167,133,18
2016,MALE,WHITE NON HISPANIC,David168,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara169,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard170,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan171,129,22
2020,MALE,HISPANIC,Joseph172,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica173,127,24
2022,MALE,OTHER ETHNICITY,Thomas174,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah175,125,26
2016,MALE,BLACK NON HISPANIC,Charles176,124,27
2017,FEMALE,HISPANIC,Karen177,123,28
2018,MALE,WHITE NON HISPANIC,Christopher178,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy179,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James180,120,31
2021,FEMALE,BLACK NON HISPANIC,Mary181,119,32
2022,MALE,HISPANIC,Robert182,118,33
2023,FEMALE,WHITE NON HISPANIC,Patricia183,117,34
2016,MALE,OTHER ETHNICITY,Michael184,116,35
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer185,115,36
2018,MALE,BLACK NON HISPANIC,William186,114,37
2019,FEMALE,HISPANIC,Linda187,113,38
2020,MALE,WHITE NON HISPANIC,David188,112,39
2021,FEMALE,OTHER ETHNICITY,Barbara189,111,40
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard190,110,41
2023,FEMALE,BLACK NON HISPANIC,Susan191,109,42
2016,MALE,HISPANIC,Joseph192,108,43
2017,FEMALE,WHITE NON HISPANIC,Jessica193,107,44
2018,MALE,OTHER ETHNICITY,Thomas194,106,45
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah195,105,46
2020,MALE,BLACK NON HISPANIC,Charles196,104,47
2021,FEMALE,HISPANIC,Karen197,103,48
2022,MALE,WHITE NON HISPANIC,Christopher198,102,49
2023,FEMALE,OTHER ETHNICITY,Nancy199,101,50
2016,MALE,ASIAN AND PACIFIC ISLANDER,James200,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary201,199,2
2018,MALE,HISPANIC,Robert202,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia203,197,4
2020,MALE,OTHER ETHNICITY,Michael204,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer205,195,6
2022,MALE,BLACK NON HISPANIC,William206,194,7
2023,FEMALE,HISPANIC,Linda207,193,8
2016,MALE,WHITE NON HISPANIC,David208,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara209,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard210,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan211,189,12
2020,MALE,HISPANIC,Joseph212,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica213,187,14
2022,MALE,OTHER ETHNICITY,Thomas214,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah215,185,16
2016,MALE,BLACK NON HISPANIC,Charles216,184,17
2017,FEMALE,HISPANIC,Karen217,183,18
2018,MALE,WHITE NON HISPANIC,Christopher218,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy219,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James220,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary221,179,22
2022,MALE,HISPANIC,Robert222,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia223,177,24
2016,MALE,OTHER ETHNICITY,Michael224,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer225,175,26
2018,MALE,BLACK NON HISPANIC,William226,174,27
2019,FEMALE,HISPANIC,Linda227,173,28
2020,MALE,WHITE NON HISPANIC,David228,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara229,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard230,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan231,169,32
2016,MALE,HISPANIC,Joseph232,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica233,167,34
2018,MALE,OTHER ETHNICITY,Thomas234,166,35
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah235,165,36
2020,MALE,BLACK NON HISPANIC,Charles236,164,37
2021,FEMALE,HISPANIC,Karen237,163,38
2022,MALE,WHITE NON HISPANIC,Christopher238,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy239,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James240,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary241,159,42
2018,MALE,HISPANIC,Robert242,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia243,157,44
2020,MALE,OTHER ETHNICITY,Michael244,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer245,155,46
2022,MALE,BLACK NON HISPANIC,William246,154,47
2023,FEMALE,HISPANIC,Linda247,153,48
2016,MALE,WHITE NON HISPANIC,David248,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara249,151,50
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard250,150,1
2019,FEMALE,BLACK NON HISPANIC,Susan251,149,2
2020,MALE,HISPANIC,Joseph252,148,3
2021,FEMALE,WHITE NON HISPANIC,Jessica253,147,4
2022,MALE,OTHER ETHNICITY,Thomas254,146,5
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah255,145,6
2016,MALE,BLACK NON HISPANIC,Charles256,144,7
2017,FEMALE,HISPANIC,Karen257,143,8
2018,MALE,WHITE NON HISPANIC,Christopher258,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy259,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James260,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary261,139,12
2022,MALE,HISPANIC,Robert262,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia263,137,14
2016,MALE,OTHER ETHNICITY,Michael264,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer265,135,16
2018,MALE,BLACK NON HISPANIC,William266,134,17
2019,FEMALE,HISPANIC,Linda267,133,18
2020,MALE,WHITE NON HISPANIC,David268,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara269,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard270,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan271,129,22
2016,MALE,HISPANIC,Joseph272,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica273,127,24
2018,MALE,OTHER ETHNICITY,Thomas274,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah275,125,26
2020,MALE,BLACK NON HISPANIC,Charles276,124,27
2021,FEMALE,HISPANIC,Karen277,123,28
2022,MALE,WHITE NON HISPANIC,Christopher278,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy279,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James280,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary281,119,32
2018,MALE,HISPANIC,Robert282,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia283,117,34
2020,MALE,OTHER ETHNICITY,Michael284,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer285,115,36
2022,MALE,BLACK NON HISPANIC,William286,114,37
2023,FEMALE,HISPANIC,Linda287,113,38
2016,MALE,WHITE NON HISPANIC,David288,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara289,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard290,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan291,109,42
2020,MALE,HISPANIC,Joseph292,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica293,107,44
2022,MALE,OTHER ETHNICITY,Thomas294,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah295,105,46
2016,MALE,BLACK NON HISPANIC,Charles296,104,47
2017,FEMALE,HISPANIC,Karen297,103,48
2018,MALE,WHITE NON HISPANIC,Christopher298,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy299,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James300,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary301,199,2
2022,MALE,HISPANIC,Robert302,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia303,197,4
2016,MALE,OTHER ETHNICITY,Michael304,196,5
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer305,195,6
2018,MALE,BLACK NON HISPANIC,William306,194,7
2019,FEMALE,HISPANIC,Linda307,193,8
2020,MALE,WHITE NON HISPANIC,David308,192,9
2021,FEMALE,OTHER ETHNICITY,Barbara309,191,10
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard310,190,11
2023,FEMALE,BLACK NON HISPANIC,Susan311,189,12
2016,MALE,HISPANIC,Joseph312,188,13
2017,FEMALE,WHITE NON HISPANIC,Jessica313,187,14
2018,MALE,OTHER ETHNICITY,Thomas314,186,15
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah315,185,16
2020,MALE,BLACK NON HISPANIC,Charles316,184,17
2021,FEMALE,HISPANIC,Karen317,183,18
2022,MALE,WHITE NON HISPANIC,Christopher318,182,19
2023,FEMALE,OTHER ETHNICITY,Nancy319,181,20
2016,MALE,ASIAN AND PACIFIC ISLANDER,James320,180,21
2017,FEMALE,BLACK NON HISPANIC,Mary321,179,22
2018,MALE,HISPANIC,Robert322,178,23
2019,FEMALE,WHITE NON HISPANIC,Patricia323,177,24
2020,MALE,OTHER ETHNICITY,Michael324,176,25
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer325,175,26
2022,MALE,BLACK NON HISPANIC,William326,174,27
2023,FEMALE,HISPANIC,Linda327,173,28
2016,MALE,WHITE NON HISPANIC,David328,172,29
2017,FEMALE,OTHER ETHNICITY,Barbara329,171,30
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard330,170,31
2019,FEMALE,BLACK NON HISPANIC,Susan331,169,32
2020,MALE,HISPANIC,Joseph332,168,33
2021,FEMALE,WHITE NON HISPANIC,Jessica333,167,34
2022,MALE,OTHER ETHNICITY,Thomas334,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah335,165,36
2016,MALE,BLACK NON HISPANIC,Charles336,164,37
2017,FEMALE,HISPANIC,Karen337,163,38
2018,MALE,WHITE NON HISPANIC,Christopher338,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy339,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James340,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary341,159,42
2022,MALE,HISPANIC,Robert342,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia343,157,44
2016,MALE,OTHER ETHNICITY,Michael344,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer345,155,46
2018,MALE,BLACK NON HISPANIC,William346,154,47
2019,FEMALE,HISPANIC,Linda347,153,48
2020,MALE,WHITE NON HISPANIC,David348,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara349,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard350,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan351,149,2
2016,MALE,HISPANIC,Joseph352,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica353,147,4
2018,MALE,OTHER ETHNICITY,Thomas354,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah355,145,6
2020,MALE,BLACK NON HISPANIC,Charles356,144,7
2021,FEMALE,HISPANIC,Karen357,143,8
2022,MALE,WHITE NON HISPANIC,Christopher358,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy359,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James360,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary361,139,12
2018,MALE,HISPANIC,Robert362,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia363,137,14
2020,MALE,OTHER ETHNICITY,Michael364,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer365,135,16
2022,MALE,BLACK NON HISPANIC,William366,134,17
2023,FEMALE,HISPANIC,Linda367,133,18
2016,MALE,WHITE NON HISPANIC,David368,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara369,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard370,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan371,129,22
2020,MALE,HISPANIC,Joseph372,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica373,127,24
2022,MALE,OTHER ETHNICITY,Thomas374,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah375,125,26
2016,MALE,BLACK NON HISPANIC,Charles376,124,27
2017,FEMALE,HISPANIC,Karen377,123,28
2018,MALE,WHITE NON HISPANIC,Christopher378,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy379,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James380,120,31
2021,FEMALE,BLACK NON HISPANIC,Mary381,119,32
2022,MALE,HISPANIC,Robert382,118,33
2023,FEMALE,WHITE NON HISPANIC,Patricia383,117,34
2016,MALE,OTHER ETHNICITY,Michael384,116,35
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer385,115,36
2018,MALE,BLACK NON HISPANIC,William386,114,37
2019,FEMALE,HISPANIC,Linda387,113,38
2020,MALE,WHITE NON HISPANIC,David388,112,39
2021,FEMALE,OTHER ETHNICITY,Barbara389,111,40
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard390,110,41
2023,FEMALE,BLACK NON HISPANIC,Susan391,109,42
2016,MALE,HISPANIC,Joseph392,108,43
2017,FEMALE,WHITE NON HISPANIC,Jessica393,107,44
2018,MALE,OTHER ETHNICITY,Thomas394,106,45
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah395,105,46
2020,MALE,BLACK NON HISPANIC,Charles396,104,47
2021,FEMALE,HISPANIC,Karen397,103,48
2022,MALE,WHITE NON HISPANIC,Christopher398,102,49
2023,FEMALE,OTHER ETHNICITY,Nancy399,101,50
2016,MALE,ASIAN AND PACIFIC ISLANDER,James400,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary401,199,2
2018,MALE,HISPANIC,Robert402,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia403,197,4
2020,MALE,OTHER ETHNICITY,Michael404,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer405,195,6
2022,MALE,BLACK NON HISPANIC,William406,194,7
2023,FEMALE,HISPANIC,Linda407,193,8
2016,MALE,WHITE NON HISPANIC,David408,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara409,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard410,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan411,189,12
2020,MALE,HISPANIC,Joseph412,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica413,187,14
2022,MALE,OTHER ETHNICITY,Thomas414,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah415,185,16
2016,MALE,BLACK NON HISPANIC,Charles416,184,17
2017,FEMALE,HISPANIC,Karen417,183,18
2018,MALE,WHITE NON HISPANIC,Christopher418,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy419,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James420,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary421,179,22
2022,MALE,HISPANIC,Robert422,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia423,177,24
2016,MALE,OTHER ETHNICITY,Michael424,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer425,175,26
2018,MALE,BLACK NON HISPANIC,William426,174,27
2019,FEMALE,HISPANIC,Linda427,173,28
2020,MALE,WHITE NON HISPANIC,David428,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara429,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard430,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan431,169,32
2016,MALE,HISPANIC,Joseph432,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica433,167,34
2018,MALE,OTHER ETHNICITY,Thomas434,166,35
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah435,165,36
2020,MALE,BLACK NON HISPANIC,Charles436,164,37
2021,FEMALE,HISPANIC,Karen437,163,38
2022,MALE,WHITE NON HISPANIC,Christopher438,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy439,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James440,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary441,159,42
2018,MALE,HISPANIC,Robert442,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia443,157,44
2020,MALE,OTHER ETHNICITY,Michael444,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer445,155,46
2022,MALE,BLACK NON HISPANIC,William446,154,47
2023,FEMALE,HISPANIC,Linda447,153,48
2016,MALE,WHITE NON HISPANIC,David448,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara449,151,50
